"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Achalpur,42,GEN,Amravati,Bachchu Babarao Kadu,Prahar Janshakti Party ,273294,183665,67.2 %,8396,4.6%
Aheri ,69,ST,Gadchiroli,Aatram Dharamraobaba Bhagwantrao,Nationalist Congress Party,235954,160593,68.1 %,15458,9.6%
Ahmadpur ,236,GEN,Latur,Babasaheb Mohanrao Patil,Nationalist Congress Party,318459,213219,67.0 %,29191,13.7%
Ahmednagar City,225,GEN,Ahmadnagar,Sangram Arunkaka Jagtap,Nationalist Congress Party,286408,167427,58.5 %,11139,6.7%
Airoli,150,GEN,Thane,Ganesh Naik,Bharatiya Janta Party,448791,191211,42.6 %,78491,41.0%
Akkalkot ,250,GEN,Solapur,Kalyanshetti Sachin Panchappa,Bharatiya Janta Party,342323,212322,62.0 %,36769,17.3%
Akkalkuwa ,1,ST,Nandurbar,Adv. K. C. Padavi,Indian National Congress,274595,195771,71.3 %,2096,1.1%
Akola East,31,GEN,Akola,Randhir Pralhadrao Sawarkar,Bharatiya Janta Party,337917,190958,56.5 %,24723,12.9%
Akola West,30,GEN,Akola,Govardhan Mangilal Sharma @ Lalaji,Bharatiya Janta Party,327394,166839,51.0 %,2593,1.6%
Akole ,216,ST,Ahmadnagar,Dr. Kiran Yamaji Lahamate,Nationalist Congress Party,254116,171970,67.7 %,57689,33.5%
Akot,28,GEN,Akola,Prakash Gunwantrao Bharsakale,Bharatiya Janta Party,281637,182058,64.6 %,7260,4.0%
Alibag,192,GEN,Raigarh,Mahendra Hari Dalvi,Shiv Sena,292581,212512,72.6 %,32924,15.5%
Amalner,15,GEN,Jalgaon,Anil Bhaidas Patil,Nationalist Congress Party,293012,183403,62.6 %,8594,4.7%
Ambegaon,196,GEN,Pune,Dilip Dattatray Walse Patil,Nationalist Congress Party,280977,188416,67.1 %,66775,35.4%
Ambernath ,140,SC,Thane,Dr. Kinikar Balaji Pralhad,Shiv Sena,308117,129597,42.1 %,29294,22.6%
Amgaon ,66,ST,Gondiya,Korote Sahasram Maroti,Indian National Congress,264648,181375,68.5 %,7420,4.1%
Amravati,38,GEN,Amravati,Sulbha Sanjay Khodke,Indian National Congress,341728,170779,50.0 %,18268,10.7%
Andheri East,166,GEN,Mumbai (Suburban),Ramesh Latke,Shiv Sena,271245,142806,52.6 %,16965,11.9%
