District,DistrictRMap,waivers,percapita,Male Pop,Female Pop,Total Pop,Decennial Growth Rate (percent) 2001-2011,Male LR,Female LR,Total LR,Sex ratio,Child Sex Ratio,Total Credit (A&A),Crop loan,NFS,OPS,Total,NPS,Total  Plan,HDI2011,TRU1,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
Ahmednagar,Ahmadnagar,200869,110519,2343000,2200000,4543000,12.4,86.8,70.9,79.1,939,852,5489,3843,1503,2108,9100,953,10053,0.72,17048,930024,4543159,2342825,2200334,556014,300238,255776,573698,291521,282177,378230,191165,187065,3151890,1773355,1378535,1391269,569470,821799,2204590,1300309,904281,2039455,1227314,812141,968974,549538,419436,501873,243329,258544,47491,25151,22340,521117,409296,111821,165135,72995,92140,44076,16297,27779,57136,20995,36141,9665,3100,6565,54258,32603,21655,141040,61836,79204,35484,12187,23297,50870,18597,32273,7379,2384,4995,47307,28668,18639,24095,11159,12936,8592,4110,4482,6266,2398,3868,2286,716,1570,6951,3935,3016,2338569,1042516,1296053
Akola,Akola,111625,92081,932000,882000,1814000,11.3,92.3,83.5,88,946,912,1423,1030,590,188,2201,184,2385,0.722,5676,395690,1813906,932334,881572,211080,110372,100708,364059,186244,177815,100280,51359,48921,1411281,758977,652304,402625,173357,229268,768154,520362,247792,691025,480913,210112,120136,89372,30764,340583,201264,139319,7894,5357,2537,222412,184920,37492,77129,39449,37680,9544,4416,5128,47938,21566,26372,1766,781,985,17881,12686,5195,66532,34511,32021,7850,3758,4092,41893,19101,22792,1250,593,657,15539,11059,4480,10597,4938,5659,1694,658,1036,6045,2465,3580,516,188,328,2342,1627,715,1045752,411972,633780
Amravati,Amravati,172760,89906,1481000,1408000,2888000,10.8,91.5,83.1,87.4,951,935,2685,2146,532,79,3297,182,3479,0.701,12210,647451,2888445,1480768,1407677,311391,160934,150457,506374,259398,246976,404128,205834,198294,2251875,1207104,1044771,636570,273664,362906,1236322,837577,398745,1061544,753682,307862,181436,144691,36745,552820,336746,216074,16717,11728,4989,310571,260517,50054,174778,83895,90883,17357,8234,9123,115123,48206,66917,4281,1732,2549,38017,25723,12294,148159,71483,76676,14437,7032,7405,99224,41872,57352,3238,1353,1885,31260,21226,10034,26619,12412,14207,2920,1202,1718,15899,6334,9565,1043,379,664,6757,4497,2260,1652123,643191,1008932
Aurangabad,Aurangabad,148322,110580,1924000,1777000,3701000,27.8,87.4,70.1,79,923,858,1831,1282,2038,906,4775,975,5750,0.727,10107,751915,3701282,1924469,1776813,532659,286721,245938,539368,277228,262140,143366,73876,69490,2503837,1430936,1072901,1197445,493533,703912,1575079,1015864,559215,1446636,958515,488121,525657,313782,211875,351679,176578,175101,22634,13697,8937,546666,454458,92208,128443,57349,71094,28861,9634,19227,44951,15216,29735,5399,1788,3611,49232,30711,18521,105969,46114,59855,22027,6339,15688,38203,12452,25751,4083,1343,2740,41656,25980,15676,22474,11235,11239,6834,3295,3539,6748,2764,3984,1316,445,871,7576,4731,2845,2126203,908605,1217598
Bhandara,Bhandara,42872,90728,606000,595000,1200000,5.6,90.4,77.1,83.8,982,950,625,550,275,80,980,75,1055,0.718,4087,278076,1200334,605520,594814,126025,64626,61399,200372,100421,99951,88886,44515,44371,899860,488709,411151,300474,116811,183663,597305,345054,252251,413838,263217,150621,101040,65226,35814,182433,98086,84347,12281,7060,5221,118084,92845,25239,183467,81837,101630,22059,10102,11957,129750,53021,76729,4888,2338,2550,26770,16376,10394,157097,71098,85999,19040,8776,10264,112283,46783,65500,3900,1926,1974,21874,13613,8261,26370,10739,15631,3019,1326,1693,17467,6238,11229,988,412,576,4896,2763,2133,603029,260466,342563
Beed,Bid,208480,72853,1349000,1236000,2585000,19.6,85.6,67.8,77,916,807,2542,2060,989,166,3697,0,3697,0.678,10693,535835,2585049,1349106,1235943,352890,195245,157645,351254,179777,171477,32722,16806,15916,1718507,987185,731322,866542,361921,504621,1255548,727819,527729,1154708,684533,470175,581109,330449,250660,327830,159120,168710,16800,9889,6911,228969,185075,43894,100840,43286,57554,25171,9384,15787,45736,15928,29808,4293,1376,2917,25640,16598,9042,85727,36151,49576,19994,7001,12993,40598,13901,26697,3298,1069,2229,21837,14180,7657,15113,7135,7978,5177,2383,2794,5138,2027,3111,995,307,688,3803,2418,1385,1329501,621287,708214
Buldhana,Buldana,249818,62222,1338000,1249000,2586000,15.8,90.5,75.8,83.4,934,855,1635,1365,190,250,2075,100,2175,0.684,9661,561504,2586258,1337560,1248698,332125,179072,153053,470895,241445,229450,124837,64153,60684,1879874,1048892,830982,706384,288668,417716,1219641,734024,485617,1107542,682638,424904,363983,223649,140334,537970,289944,248026,11125,7305,3820,194464,161740,32724,112099,51386,60713,21464,8290,13174,65257,26012,39245,2645,1078,1567,22733,16006,6727,97952,45404,52548,18046,6916,11130,57627,23132,34495,2057,917,1140,20222,14439,5783,14147,5982,8165,3418,1374,2044,7630,2880,4750,588,161,427,2511,1567,944,1366617,603536,763081
Chandrapur,Chandrapur,99742,101335,1124000,1080000,2204000,6.4,86.8,73,80,961,953,979,790,558,46,1583,166,1749,0.718,11443,536686,2204307,1123834,1080473,231316,118471,112845,348365,176898,171467,389441,196753,192688,1578615,872565,706050,625692,251269,374423,1058172,648565,409607,804433,536752,267681,192568,125517,67051,303057,158251,144806,16174,11759,4415,292634,241225,51409,253739,111813,141926,28410,12774,15636,170926,64984,105942,5172,2532,2640,49231,31523,17708,214836,95734,119102,24071,11003,13068,146995,56943,90052,3985,2019,1966,39785,25769,14016,38903,16079,22824,4339,1771,2568,23931,8041,15890,1187,513,674,9446,5754,3692,1146135,475269,670866
Dhule,Dhule,75174,98624,1054000,997000,2051000,20.1,79.5,65.8,72.8,946,898,1433,1008,327,261,2021,108,2129,0.671,7195,408874,2050862,1054031,996831,273507,144121,129386,127571,65068,62503,647315,327034,320281,1293916,723388,570528,756946,330643,426303,936370,570448,365922,825875,526267,299608,220641,148256,72385,365828,185067,180761,16557,10334,6223,222849,182610,40239,110495,44181,66314,18498,7029,11469,63708,20916,42792,4089,1563,2526,24200,14673,9527,96726,38168,58558,15813,5883,9930,56804,18319,38485,3133,1220,1913,20976,12746,8230,13769,6013,7756,2685,1146,1539,6904,2597,4307,956,343,613,3224,1927,1297,1114492,483583,630909
Gadchiroli,Garhchiroli,29128,66556,541000,532000,1073000,10.6,82.3,66.3,74.4,982,961,270,210,166,0,436,18,454,0.608,14412,250435,1072942,541328,531614,120272,61320,58952,120745,61041,59704,415306,207377,207929,708365,395110,313255,364577,146218,218359,584237,323338,260899,392886,239961,152925,178169,110552,67617,130112,65683,64429,7473,4766,2707,77132,58960,18172,191351,83377,107974,47189,24002,23187,117701,45222,72479,3848,1701,2147,22613,12452,10161,163018,71906,91112,41134,21394,19740,101305,39373,61932,2807,1284,1523,17772,9855,7917,28333,11471,16862,6055,2608,3447,16396,5849,10547,1041,417,624,4841,2597,2244,488705,217990,270715
